2015-10-13 14:30:44,"4060 MARTIN LUTHER KING AVE,FLINT,",0,0,true
2015-10-13 14:30:47,"1705 LAUREL OAK DR,FLINT,48507",0,70,true
2015-10-13 14:30:48,"2010 CASTLE LN,FLINT,48504",0,0,true
2015-10-13 14:30:50,"906 GARLAND,FLINT,48505",0,0,true
2015-10-16 08:29:51,"422 CHALMERS ST,FLINT,48503",0,0,true
2015-10-16 08:29:53,"3248 PROSPECT ST,FLINT,48504",0,0,true
2015-10-16 08:29:56,"2306 MOUNTAIN AVE,FLINT,48503",0,0,true
2015-10-16 08:30:03,"3730 DELAWARE AVE,FLINT,48506",0,0,true
2015-10-16 08:30:07,"932 INGLESIDE,FLINT,48507",0,60,true
2015-10-16 08:30:11,"5714 BALDWIN BLVD,FLINT,",0,0,true
2015-10-20 15:06:52,"555 S SAGINAW ST,FLINT,48502",0,190,true
2015-10-20 15:06:53,"1002 MCKEIGHAN AVE,FLINT,48507",0,0,true
2015-10-20 15:06:55,"2820 S SAGINAW ST,FLINT,48503",0,520,true
2015-10-20 15:06:56,"119 N GRAND TRAVERSE,FLINT,48503",0,0,true
2015-10-20 15:06:58,"987 SALISBURY AVE,FLINT,48532",0,430,true
2015-10-20 15:07:00,"3813 CHEROKEE AVE,FLINT,48507",0,0,true
2015-10-20 15:07:07,"5905 MARLOWE DR,FLINT,48504",0,50,true
2015-10-20 15:07:09,"2820 S SAGINAW ST,FLINT,48503",0,610,true
2015-10-20 15:07:11,"3813 CHEROKEE AVE,FLINT,48507",0,0,true
2015-10-20 15:07:13,"317 W PIERSON RD,FLINT,",0,130,true
2015-10-20 15:07:16,"3821 CHEROKEE AVE,FLINT,48507",0,0,true
2015-10-20 15:07:21,"2820 S SAGINAW ST,FLINT,48503",0,560,true
2015-10-20 15:07:25,"3510 WHITTIER AVE,FLINT,48506",0,0,true
2015-10-20 15:07:27,"2820 S SAGINAW ST,FLINT,48503",0,590,true
2015-10-20 15:07:28,"2820 S SAGINAW ST,FLINT,48503",0,530,true
2015-10-20 15:07:29,"2820 S SAGINAW ST,FLINT,48503",0,610,true
2015-10-20 15:07:32,"2820 S SAGINAW ST,FLINT,48503",0,630,true
2015-10-20 15:07:36,"2820 S SAGINAW ST,FLINT,48503",0,710,true
2015-10-20 15:07:37,"2820 S SAGINAW ST,FLINT,48503",0,670,true
2015-10-20 15:07:38,"2820 S SAGINAW ST,FLINT,48503",0,450,true
2015-10-20 15:07:39,"2820 S SAGINAW ST,FLINT,48503",0,910,true
2015-10-20 15:07:44,"2820 S SAGINAW ST,FLINT,48503",0,800,true
2015-10-20 15:07:46,"2820 S SAGINAW ST,FLINT,48503",0,800,true
2015-10-26 15:42:01,"3813 CHEROKEE AVE #1,FLINT,48507",0,0,true
2015-10-26 15:42:03,"1549 E ATHERTON RD,FLINT,48507",0,0,true
2015-10-26 15:42:04,"4025 PENGELLY RD APT #10,FLINT,48507",0,0,true
2015-10-26 15:42:07,"3709 CLAIRMONT ST,FLINT,48532",0,80,true
2015-10-26 15:42:14,"3746 RICHFIELD RD,FLINT,48506",0,0,true
2015-10-26 15:42:20,"3815 OGEMA AVE,FLINT,48507",0,410,true
2015-10-26 15:42:26,"3813 CHEROKEE AVE #2,FLINT,48507",0,0,true
2015-10-30 11:17:57,"3734 CRAIG DR,FLINT,48506",0,70,true
2015-10-30 11:18:01,"1908 LAUREL OAK DR,FLINT,",0,0,true
2015-10-30 11:18:02,"3738 CRAIG DR,FLINT,48506",0,60,true
2015-10-30 11:18:04,"1701 EAST COURT ST,FLINT,48503",0,0,true
2015-10-30 11:18:05,"2425 FLUSHING RD,FLINT,48504",0,0,true
2015-11-04 12:37:31,"2484 NOLEN DR,FLINT,48504",0,570,true
2015-11-04 12:37:34,"2105 TUSCOLA ST,FLINT,48503",0,0,true
2015-11-04 12:37:35,"1217 MAXINE,FLINT,48503",0,0,true
2015-11-04 12:37:36,"2610 PEWANAGA PL,FLINT,48507",0,320,true
2015-11-04 12:37:37,"2508 PIERCE ST,FLINT,48503",0,0,true
2015-11-04 12:37:43,"3905 KELLAR AVE,FLINT,48504",0,80,true
2015-11-04 12:37:45,"2484 NOLEN DR #2,FLINT,48504",0,0,true
