test_date,address_full,lead_ppb,copper_ppb
2016-01-27 13:15:37,"1118 PERSHING ST,FLINT,48503",1,0
2016-01-27 13:15:29,"6618 BELLTREE LN,FLINT,48504",1,0
2016-01-27 13:15:20,"5252 MAEFRED DR,FLINT,48504",1,0
2016-01-27 13:14:54,"502 E DEWEY ST,FLINT,48505",1,0
2016-01-27 13:14:47,"2420 LEVERN,FLINT,48506",1,0
2016-01-27 13:14:37,"604 E 2ND ST #1,FLINT,48503",1,0
2016-01-27 13:14:25,"1317 W STEWART AVE,FLINT,48504",1,0
2016-01-27 13:10:49,"3017 N CHEVROLET AVE,FLINT,",1,0
2016-01-27 13:10:38,"209 W RANKIN ST,FLINT,48505",1,0
2016-01-27 13:09:58,"3900 HAMMERBERG RD OFC,FLINT,48507",1,0
2016-01-27 13:07:29,"3900 HAMMERBERG RD OFC 250,FLINT,48507",1,0
2016-01-27 13:02:47,"1507 LINWOOD AVE,FLINT,48503",1,0
2016-01-27 13:02:27,"4315 TRUMBULL DR,FLINT,48504",1,0
2016-01-26 13:58:07,"4210 BROWN,FLINT,48504",1,0
2016-01-26 13:57:34,"3101 STARKWEATHER ST,FLINT,48506",1,0
2016-01-26 13:47:26,"3114 GREENLY ST,FLINT,48503",1,0
2016-01-26 13:47:14,"916 VERMILYA,FLINT,48507",1,0
2016-01-26 13:46:55,"1154 E FOSS AVE,FLINT,48505",1,0
2016-01-26 13:46:32,"3105 WYOMING AVE,FLINT,",1,0
2016-01-26 13:46:30,"133 W GENESEE ST,FLINT,48505",1,0
2016-01-26 13:46:25,"1107 BEARD ST,FLINT,48503",1,0
2016-01-26 13:46:22,"602 E MARENGO,FLINT,48505",1,0
2016-01-26 13:46:02,"1032 OSSINGTON,FLINT,48507",1,0
2016-01-26 13:46:01,"2818 CHEROKEE AVENUE,FLINT,48507",1,0
2016-01-26 13:45:50,"630 EDMUND STREET,FLINT,48505",1,0
2016-01-26 12:27:43,"420 LAFAYETTE ST,FLINT,48503",1,0
