test_date,address_full,lead_ppb,copper_ppb
2016-02-02 14:02:50,"2762 GOLFSIDE LN,FLINT,48504",10,180
2016-02-02 13:27:43,"3224 WOODROW AVE,FLINT,48506",10,180
2016-02-01 13:31:16,"1364 ROOSEVELT AVE,FLINT,48503",10,180
2016-01-25 13:48:48,"1325 COPEMAN BLVD,FLINT,48504",10,170
2016-02-04 13:18:48,"4321 CUSTER AVE,FLINT,48507",10,160
2015-10-08 16:00:19,"1112 BEARD ST,FLINT,48503",10,160
2016-02-14 12:02:12,"4625 MILTON DRIVE,FLINT,48507",10,140
2016-01-31 12:38:04,"1710 WABASH AVE,FLINT,48504",10,140
2016-01-31 12:37:41,"2515 WINDEMERE AVEN,FLINT,48503",10,140
2016-01-28 13:02:56,"717 ST CLAIR,FLINT,48504",10,140
2016-01-26 12:18:56,"3411 WESTWOOD PARKWAY,FLINT,48503",10,140
2016-02-12 13:11:27,"2533 TYRONE ST,FLINT,48504",10,130
2016-02-12 13:05:13,"820 GARLAND ST #37,FLINT,48503",10,130
2016-02-04 13:15:40,"2625 THOMAS ST,FLINT,48504",10,130
2016-02-03 13:40:00,"4029 STERLING ST,FLINT,",10,130
2016-02-10 14:14:01,"3601 CHEROKEE AVE,FLINT,48507",10,120
2016-02-08 13:08:12,"2531 ALTOONA ST,FLINT,48504",10,120
2016-01-23 11:59:36,"3314 CIRCLE DR,FLINT,48507",10,120
2016-01-26 12:27:27,"136 PINE BLUFF,FLINT,48504",10,110
2016-02-05 13:09:18,"2522 TIFFIN ST,FLINT,48504",10,100
2016-02-04 13:23:45,"G-4101 CLSO RD,FLINT,48504",10,100
2016-01-21 16:33:24,"4124 MENTON ST,FLINT,48507",10,100
2016-02-01 14:32:50,"3111 BRYN MAWR PL,FLINT,48504",10,90
2016-01-31 13:05:06,"364 BUCKINGHAM,FLINT,48507",10,90
2015-09-29 13:22:17,"1426 MAPLEWOOD AVE,FLINT,48506",10,90
2016-01-23 12:00:36,"229 E LIVINGSTON DR,FLINT,48503",10,80
2016-01-21 15:33:00,"1423 DOWNEY ST,FLINT,48503",10,80
2016-02-06 11:39:37,"2701 ALPHA WAY,FLINT,48506",10,70
2016-02-06 11:39:25,"3402 HOLLY AVE,FLINT,48506",10,70
2016-02-05 13:03:33,"1026 REMINGTON AVE,FLINT,48507",10,70
2016-02-03 13:39:16,"6813 ORANGE LANE,FLINT,48505",10,70
2016-01-21 15:33:00,"3509 RANGLY APT #3,FLINT,48503",10,70
2016-01-20 13:06:28,"611 LELAND ST,FLINT,48507",10,70
2015-10-16 08:30:02,"1201 ALVORD,FLINT,48507",10,70
2016-02-09 13:42:08,"711 S FRANKLIN AVE,FLINT,48503",10,60
2016-01-30 12:29:56,"850 LELAND ST,FLINT,48507",10,60
2016-01-22 12:36:01,"1516 WOODSLEA DR,FLINT,48507",10,60
2016-02-10 14:28:57,"434 W HOME AVE,FLINT,48505",10,50
2016-02-04 13:14:46,"1401 GAINEY AVE,FLINT,48503",10,50
2016-01-21 16:01:49,"2746 BROWN STREET,FLINT,48503",10,50
2016-01-21 13:40:04,"3201 HERRICK ST,FLINT,48503",10,50
2016-02-16 08:56:14,"1623 OAKLAHOMA AVE,FLINT,",10,0
2016-02-14 12:02:06,"2821 BRANDON ST,FLINT,48503",10,0
2016-02-12 13:10:20,"1037 N CHEVROLET AVE SAMPLE A,FLINT,48504",10,0
2016-02-11 13:02:10,"307 E YORK AVE,FLINT,48505",10,0
2016-02-11 13:01:20,"1911 JOLIET ST,,48504",10,0
2016-02-08 13:05:11,"1325 PETTIBONE,FLINT,48507",10,0
2016-02-05 13:33:41,"1619 LYON ST,FLINT,48503",10,0
2016-02-03 13:42:39,"2949 WOLCOTT ST,FLINT,48504",10,0
2016-02-01 13:30:10,"3913 BROWNELL,FLINT,48504",10,0
2016-02-01 13:28:03,"1034 GARDEN ST,FLINT,48503",10,0
2016-01-30 12:28:52,"144 E MOORE ST,FLINT,48505",10,0
2016-01-29 12:44:56,"806 CLINTON ST,FLINT,48507",10,0
2016-01-27 14:11:56,"613 E ATHERTON RD,FLINT,48507",10,0
2016-01-26 13:57:55,"1025 BLANCHARD AVE,FLINT,48503",10,0
2016-01-26 13:47:11,"140 E TOBIAS,FLINT,48503",10,0
2016-01-26 12:27:52,"2314 DELNAR ST,FLINT,48505",10,0
2016-01-26 12:23:34,"2309 ADAMS AVE,FLINT,48505",10,0
2016-01-23 12:01:51,"955 PADDINGTON,FLINT,48507",10,0
2016-01-21 13:43:59,"1701 GREENWAY AVE,FLINT,48504",10,0
2016-01-20 13:07:28,"605 W LORADO AVE,FLINT,48505",10,0
2016-01-20 13:06:06,"1606 SUNCREST DR,FLINT,48504",10,0
2016-01-20 12:59:08,"737 CLINTON ST,FLINT,48507",10,0
2015-10-13 14:30:16,"329 W ELDRIDGE AVE,FLINT,48505",10,0
2015-10-02 09:55:03,"1329 WASHINGTON,FLINT,48503",10,0
