test_date,address_full,lead_ppb,copper_ppb
2016-02-01 13:32:26,"1256 FOREST HILL AVE,FLINT,48504",4,200
2016-01-26 13:46:53,"738 W ATHERTON RD APT #2,FLINT,48507",4,200
2016-01-21 13:36:58,"2821 WESTWOOD PARKWAY,FLINT,48503",4,200
2016-02-02 14:01:57,"3800 RICHFIELD,FLINT,48506",4,190
2016-02-01 13:24:00,"2307 RADCLIFFE AVE,FLINT,48503",4,190
2016-01-30 12:59:00,"2607 CIRCLE,,48507",4,190
2016-01-23 11:57:35,"2324 LAPER RD APT 210,FLINT,48503",4,190
2016-02-07 11:45:36,"3421 SANTA CLARA CT,FLINT,48504",4,180
2016-02-01 13:30:04,"2209 CROCKER AVE,FLINT,48503",4,180
2016-01-31 13:05:33,"1718 LAUREL OAK DR,FLINT,48507",4,180
2016-01-28 13:03:47,"1246 KNICKERBOCKER,FLINT,48505",4,180
2016-01-27 13:10:47,"2054 CROOKED LANE,FLINT,48503",4,180
2016-01-21 13:42:59,"4124 WESTERN RD,FLINT,48506",4,180
2016-02-13 12:24:42,"1809 WABASH AVE,FLINT,48504",4,170
2016-02-10 14:29:05,"2101 LIPPINCOTT BLVD,FLINT,48503",4,170
2016-02-07 11:44:20,"2810 PARKSIDE DRIVE,FLINT,48503",4,170
2016-01-26 13:45:47,"2046 WHITTLESEY ST,FLINT,48503",4,170
2016-01-07 15:17:12,"1617 NEOME DR,FLINT,",4,170
2016-02-12 13:45:48,"3320 PARKSIDE DR,FLINT,48503",4,160
2016-02-11 13:18:54,"6808 PARKBELT DR,FLINT,48505",4,160
2016-02-03 13:42:52,"1601 CHIPPEWA ST,FLINT,",4,160
2016-01-22 13:12:04,"2202 WELCH BLVD PO BOX 4219,FLINT,48504",4,160
2016-01-22 12:56:53,"3620 SUNRIDGE DR,FLINT,48506",4,160
2016-01-19 16:30:47,"1121 WOODLAWN PARK DRIVE,FLINT,48503",4,160
2016-01-15 10:58:55,"1417 LINWOOD AVE,,48503",4,160
2015-09-30 13:06:51,"605 GARLAND ST/1,FLINT,48503",4,160
2016-02-11 13:18:35,"2017 JOILET ST,FLINT,48504",4,150
2016-02-05 13:05:50,"1628 NEBRASKA AVE,FLINT,48506",4,150
2016-02-03 13:43:49,"2721 WESTWOOD PARKWAY,FLINT,48503",4,150
2016-01-21 16:13:29,"1212 BARNEY AVE,FLINT,48503",4,150
2016-01-21 16:01:42,"201 E LIVINGSTON DR,FLINT,48503",4,150
2016-02-15 12:19:16,"814 E KEARSLEY ST #422,FLINT,48503",4,140
2016-02-10 14:30:07,"1614 SHAMROCK LN,FLINT,48504",4,140
2016-02-06 12:08:50,"3230 N STEVENSON STREET,FLINT,48504",4,140
2016-02-02 13:19:38,"2040 OXFORD LANE,FLINT,48503",4,140
2016-01-28 13:37:51,"2118 LEVERN ST,FLINT,48506",4,140
2016-01-27 13:02:07,"2014 ROBERT T LONGWAY,FLINT,48503",4,140
2016-01-25 13:07:49,"3218 MONTANA AVE,FLINT,48506",4,140
2016-01-23 12:02:53,"1218 KENSINGTON AVE,FLINT,48503",4,140
2016-01-21 16:01:41,"1634 WYOMING AVE,FLINT,48506",4,140
2016-01-15 10:58:46,"1518 N GRAND TRAVERSE,,48503",4,140
2016-02-06 11:39:02,"718 PERRY ST,FLINT,48504",4,130
2016-02-05 13:06:36,"1936 W COURT ST,FLINT,48503",4,130
2016-02-04 13:23:08,"3001 CORUNNA RD APT 1,FLINT,48503",4,130
2016-02-03 14:24:23,"2516 E 2ND ST,FLINT,48503",4,130
2016-02-02 13:19:54,"845 DICKINSON ST,FLINT,48504",4,130
