test_date,address_full,lead_ppb,copper_ppb
2016-01-15 11:03:00,"3741 NORWOOD DR,FLINT,48503",0,100
2016-01-14 09:34:37,"2608 WALTER ST,FLINT,48504",0,100
2015-12-18 15:07:54,"3921 BRANCH RD,FLINT,48506",0,100
2015-12-02 14:41:51,"1920 COLCHESTER RD,FLINT,48503",0,100
2015-12-02 14:41:40,"2833 COMANCHE AVE,FLINT,",0,100
2015-11-18 14:32:50,"1043 PINEHURST AVE,FLINT,48507",0,100
2015-11-09 15:02:30,"718 COLUMBIA LN,FLINT,48503",0,100
2015-11-09 15:02:17,"1715 CRESCENT DR,FLINT,48503",0,100
2016-02-16 08:57:32,"2626 CLEMENT,FLINT,",0,90
2016-02-15 12:49:37,"2101 STEDRON ST APT #109,FLINT,48504",0,90
2016-02-15 12:49:32,"2101 STEDRON ST APT #239,FLINT,48504",0,90
2016-02-15 12:49:19,"2101 STEDRON ST APT #246,FLINT,48504",0,90
2016-02-15 12:49:06,"2101 STEDRON ST APT #345,FLINT,48504",0,90
2016-02-15 12:49:02,"2101 STEDRON ST APT #231,FLINT,48504",0,90
2016-02-15 12:21:59,"2101 STEDRON ST APT #328,FLINT,48504",0,90
2016-02-15 12:21:17,"2101 STEDRON ST APT #301,FLINT,48504",0,90
2016-02-14 12:01:59,"3422 BRENT,FLINT,48506",0,90
2016-02-13 12:25:30,"1913 LAUREL OAK DEBIT,FLINT,48507",0,90
2016-02-13 12:25:21,"1621 RASPBERRY LN,FLINT,48507",0,90
2016-02-12 13:20:04,"1129 CHIPPEWA,FLINT,48503",0,90
2016-02-12 13:13:25,"902 E COURT ST #808,FLINT,48503",0,90
2016-02-12 13:05:30,"1602 W BALLENGER HWY,FLINT,48504",0,90
2016-02-12 13:04:26,"902 E COURT ST #412,FLINT,48503",0,90
2016-02-11 13:20:08,"3460 HAMMERBERG,FLINT TWP,48507",0,90
2016-02-11 13:18:52,"G 3139HOGARTH AVE,FLINT,48532",0,90
2016-02-10 14:29:37,"1214 ELDORADO DRIVE,FLINT,48504",0,90
2016-02-10 14:29:09,"1805 GREENBRIAR LN,FLINT,48507",0,90
2016-02-09 14:09:13,"2110 FOREST HILL,FLINT,48504",0,90
2016-02-09 13:43:22,"3200 DEVONSHIRE ST,FLINT,48504",0,90
2016-02-08 13:29:02,"814 E KEARSLEY ST APT 115,FLINT,48503",0,90
2016-02-08 13:06:27,"1009 S. FRANKLIN AVENUE,FLINT,48503",0,90
2016-02-07 12:25:40,"3286 CHEYENNE AVE,BURTON,48529",0,90
2016-02-07 11:45:43,"5709 SALLY CT,FLINT,48505",0,90
2016-02-07 11:45:01,"4233 PENGELLY RD,FLINT,48507",0,90
2016-02-06 12:08:55,"3501 AUGUSTA ST,FLINT,48503",0,90
2016-02-06 11:42:09,"3111 DUPONT ST,FLINT,",0,90
2016-02-06 11:39:23,"4907 THETA PASSAGE,FLINT,48506",0,90
2016-02-05 13:03:22,"3601 SUNSET DRIVE,FLINT,48503",0,90
2016-02-04 13:16:17,"807 FISK DRIVE,FLINT,48503",0,90
2016-02-04 13:13:07,"3102 BARTH ST,FLINT,48504",0,90
2016-02-04 13:12:40,"3143 N STEVENSON ST,FLINT,48504",0,90
2016-02-03 14:24:21,"3260 MARTHAROSE CT,FLINT,48504",0,90
2016-02-03 14:23:32,"3205 CHEYENNE AVE,FLINT,48507",0,90
2016-02-03 13:40:31,"1406 BENT DR,FLINT,48504",0,90
2016-02-03 13:34:10,"3001 COMANCHE AVE,FLINT,48507",0,90
2016-02-02 14:02:06,"236 W HAMILTON AVE,FLINT,48503",0,90
2016-02-02 13:31:14,"2924 WYOMING AVE,FLINT,48506",0,90
2016-02-02 13:30:34,"1317 RIVERDALE ST,FLINT,48503",0,90
2016-02-02 13:25:20,"320 COMMONWEALTH AVE,FLINT,48503",0,90
2016-02-02 13:22:43,"4808 CLOVERLAWN DR,FLINT,48504",0,90
2016-02-02 13:22:40,"1039 RIVER VALLEY,FLINT,48532",0,90
2016-02-02 13:21:50,"G-3391 S SAGINAW,BURTON,48529",0,90
2016-02-02 13:21:48,"1505 S FRANKLIN,FLINT,48503",0,90
2016-02-02 13:21:36,"1818 CARMANBROOK PARKWAY,FLINT,48507",0,90
2016-02-02 13:21:04,"1930 GREENBRIAR LN,FLINT,48507",0,90
2016-02-01 13:30:19,"411 LYNCH ST,FLINT,48503",0,90
2016-02-01 13:29:58,"702 FATHER DUKETTE APT 312,FLINT,48503",0,90
2016-02-01 13:27:25,"421 W WATER APT 102,FLINT,48503",0,90
2016-02-01 13:27:01,"1825 GREENBRIAR LANE,FLINT,48507",0,90
2016-01-30 12:59:27,"3081 SKANDER DR,FLINT,48504",0,90
2016-01-30 12:29:59,"1013 SOMERSET LN,FLINT,48503",0,90
2016-01-30 12:28:44,"609 E HOME AVE,FLINT,48505",0,90
2016-01-29 13:02:31,"930 REMINGTON AVE,FLINT,48507",0,90
2016-01-29 13:02:11,"625 WALDMAN AVE,FLINT,48507",0,90
2016-01-29 12:44:24,"1153 W JULIAH,FLINT,48505",0,90
